"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"42196";"CAMPESTRE";42196;"CAMPESTRE";222;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";130001702691;"PARTIDO ISOLADO";"PP";"N";29;0;29;1292;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"47376";"JURUAIA";47376;"JURUAIA";189;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";130001736399;"PARTIDO ISOLADO";"PP";"N";11;0;11;967;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"44393";"DIVINO";44393;"DIVINO";70;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";130001758294;"PARTIDO ISOLADO";"REPUBLICANOS";"N";132;0;132;1402;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"43273";"CLARAVAL";43273;"CLARAVAL";127;13;"Vereador";"Partido isolado";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";130001729244;"PARTIDO ISOLADO";"UNIÃO";"N";14;0;14;528;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"54011";"UBERABA";54011;"UBERABA";276;13;"Vereador";"Partido isolado";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";130001736101;"PARTIDO ISOLADO";"PSB";"N";42;0;42;1285;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"40851";"AREADO";40851;"AREADO";19;13;"Vereador";"Partido isolado";70;"AVANTE";"AVANTE";-1;"#NULO#";"#NULO#";"#NULO#";130001703495;"PARTIDO ISOLADO";"AVANTE";"N";144;0;144;1324;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"46876";"ITURAMA";46876;"ITURAMA";142;13;"Vereador";"Partido isolado";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";130001736033;"PARTIDO ISOLADO";"PSD";"N";21;0;21;2237;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"42404";"SETUBINHA";42404;"SETUBINHA";165;13;"Vereador";"Partido isolado";33;"MOBILIZA";"Mobilização Nacional";-1;"#NULO#";"#NULO#";"#NULO#";130001711860;"PARTIDO ISOLADO";"MOBILIZA";"N";103;0;103;1036;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"41165";"NOVA PORTEIRINHA";41165;"NOVA PORTEIRINHA";147;13;"Vereador";"Partido isolado";20;"PODE";"Podemos";-1;"#NULO#";"#NULO#";"#NULO#";130001750296;"PARTIDO ISOLADO";"PODE";"N";0;0;0;24;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"43710";"CONTAGEM";43710;"CONTAGEM";93;13;"Vereador";"Partido isolado";12;"PDT";"Partido Democrático Trabalhista";-1;"#NULO#";"#NULO#";"#NULO#";130001696880;"PARTIDO ISOLADO";"PDT";"N";247;0;247;8679;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"49050";"NOVO CRUZEIRO";49050;"NOVO CRUZEIRO";196;13;"Vereador";"Partido isolado";33;"MOBILIZA";"Mobilização Nacional";-1;"#NULO#";"#NULO#";"#NULO#";130001761271;"PARTIDO ISOLADO";"MOBILIZA";"N";8;0;8;34;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"44431";"DIVINOLÂNDIA DE MINAS";44431;"DIVINOLÂNDIA DE MINAS";283;13;"Vereador";"Partido isolado";70;"AVANTE";"AVANTE";-1;"#NULO#";"#NULO#";"#NULO#";130001698093;"PARTIDO ISOLADO";"AVANTE";"N";1;0;1;107;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"46094";"ILICÍNEA";46094;"ILICÍNEA";122;13;"Vereador";"Partido isolado";22;"PL";"Partido Liberal";-1;"#NULO#";"#NULO#";"#NULO#";130001762106;"PARTIDO ISOLADO";"PL";"N";10;0;10;408;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"44571";"DONA EUSÉBIA";44571;"DONA EUSÉBIA";79;13;"Vereador";"Partido isolado";25;"PRD";"Partido Renovação Democrática";-1;"#NULO#";"#NULO#";"#NULO#";130001694714;"PARTIDO ISOLADO";"PRD";"N";7;0;7;956;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"53350";"SERRA DO SALITRE";53350;"SERRA DO SALITRE";211;13;"Vereador";"Partido isolado";70;"AVANTE";"AVANTE";-1;"#NULO#";"#NULO#";"#NULO#";130001739209;"PARTIDO ISOLADO";"AVANTE";"N";4;0;4;715;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"41106";"NATALÂNDIA";41106;"NATALÂNDIA";329;13;"Vereador";"Partido isolado";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";130001713433;"PARTIDO ISOLADO";"PSD";"N";24;0;24;441;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"46957";"JACUÍ";46957;"JACUÍ";260;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";130001697495;"PARTIDO ISOLADO";"PP";"N";2;0;2;113;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"48798";"MUTUM";48798;"MUTUM";188;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";130001748067;"PARTIDO ISOLADO";"REPUBLICANOS";"N";169;0;169;2945;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"43010";"CÁSSIA";43010;"CÁSSIA";78;13;"Vereador";"Partido isolado";33;"MOBILIZA";"Mobilização Nacional";-1;"#NULO#";"#NULO#";"#NULO#";130001711310;"PARTIDO ISOLADO";"MOBILIZA";"N";8;0;8;245;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"49590";"PATOS DE MINAS";49590;"PATOS DE MINAS";330;13;"Vereador";"Partido isolado";44;"UNIÃO";"União Brasil";-1;"#NULO#";"#NULO#";"#NULO#";130001725148;"PARTIDO ISOLADO";"UNIÃO";"N";122;0;122;3008;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"52752";"SÃO MIGUEL DO ANTA";52752;"SÃO MIGUEL DO ANTA";268;13;"Vereador";"Partido isolado";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";130001732939;"PARTIDO ISOLADO";"PSD";"N";13;0;13;833;0;0
"11/10/2024";"19:33:24";2024;2;"Eleição Ordinária";1;619;"Eleições Municipais 2024";"06/10/2024";"M";"MG";"41572";"BOM REPOUSO";41572;"BOM REPOUSO";59;13;"Vereador";"Partido isolado";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO#";"#NULO#";"#NULO#";130001761640;"PARTIDO ISOLADO";"REPUBLICANOS";"N";97;0;97;1395;0;0
